::ffff:127.0.0.1 - - [15/Aug/2020:22:39:03 +0000] "GET /login HTTP/1.1" 404 1893 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:79.0) Gecko/20100101 Firefox/79.0"
::ffff:127.0.0.1 - - [15/Aug/2020:22:39:06 +0000] "GET /css/tailwind.css HTTP/1.1" 304 - "http://127.0.0.1:8080/login" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:79.0) Gecko/20100101 Firefox/79.0"
::ffff:127.0.0.1 - - [15/Aug/2020:22:39:07 +0000] "GET /favicon.ico HTTP/1.1" 404 1893 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:79.0) Gecko/20100101 Firefox/79.0"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:45 +0000] "POST /images HTTP/1.1" 201 183 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:45 +0000] "POST /images HTTP/1.1" 302 23 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:45 +0000] "POST /images HTTP/1.1" 302 23 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "GET /images/1 HTTP/1.1" 200 193 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "GET /images/ HTTP/1.1" 200 379 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "PUT /images/1/?_method=PUT HTTP/1.1" 200 194 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "PUT /images/1/?_method=PUT HTTP/1.1" 200 196 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "PUT /images/25503/?_method=PUT HTTP/1.1" 404 9 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "DELETE /images/1 HTTP/1.1" 200 27 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "DELETE /images/35025 HTTP/1.1" 404 27 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "POST /signin HTTP/1.1" 302 27 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:46 +0000] "POST /signin HTTP/1.1" 302 23 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:47 +0000] "POST /signup HTTP/1.1" 302 27 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:47 +0000] "POST /signup HTTP/1.1" 302 23 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:38:47 +0000] "POST /signup HTTP/1.1" 302 23 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:49:32 +0000] "POST /images HTTP/1.1" 201 183 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:49:33 +0000] "POST /images HTTP/1.1" 302 23 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:49:33 +0000] "POST /images HTTP/1.1" 302 23 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:49:33 +0000] "GET /images/1 HTTP/1.1" 200 193 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:49:33 +0000] "GET /images/ HTTP/1.1" 200 379 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:49:33 +0000] "PUT /images/1/?_method=PUT HTTP/1.1" 200 194 "-" "node-superagent/3.8.3"
::ffff:127.0.0.1 - - [16/Aug/2020:01:49:33 +0000] "PUT /images/1/?_method=PUT HTTP/1.1" 200 196 "-" "node-superagent/3.8.3"
